朝向,单位面积租金（元/月/㎡）
南北,16.307893020221787
南,15.294117647058824
南,20.147750167897918
南北,14.772727272727273
南北,5.2631578947368425
南北,13.529411764705882
南北,12.941176470588236
南北,27.650279267820604
南,21.05263157894737
南北,14.606741573033707
南北,23.076923076923077
南,12.222222222222221
南北,14.391447368421053
南北,9.196247930844216
南,11.428571428571429
南北,23.80952380952381
南北,10.112359550561798
北,54.76190476190476
南,32.323232323232325
南,13.222516055912354
南北,18.748535270681977
南北,3.9942482824732384
南北,9.25925925925926
南北,19.130434782608695
南北,12.037037037037036
南北,7.882291119285338
南,10.0
南,21.428571428571427
南北,6.25
南,5.519372999227287
北,45.75
南北,11.11111111111111
南北,13.698630136986301
南,6.0
南北,13.0
南北,6.15222358938302
南北,13.52847128274505
南,6.209637357178341
南北,7.1
南北,6.185567010309279
南北,18.181818181818183
南北,16.129032258064516
南北,10.0
南北,7.2727272727272725
南北,9.0
南北,8.313771517996871
南北,15.384615384615385
南北,9.565217391304348
南,13.953488372093023
南,5.154639175257732
南北,6.185567010309279
北,7.538635506973238
南北,5.154639175257732
南北,8.02844362885652
南北,5.154639175257732
南北,5.154639175257732
南北,5.405405405405405
南北,5.555555555555555
南北,14.141414141414142
南北,8.389261744966442
南,5.617977528089888
南北,8.88888888888889
南北,10.416666666666666
南北,5.61447286338116
南北,5.434782608695652
北,54.35763714772842
南北,27.586206896551722
南北,33.77047334946812
南,48.717948717948715
南北,28.017241379310345
南,38.46153846153846
南,85.16419645451904
南北,41.207982574910226
南北,43.12060501525806
南,38.361661945231354
南北,34.969325153374236
南北,22.97872340425532
南,47.10144927536232
南,28.90800028908
南,27.925160569673274
南北,30.657523194836628
北,152.82730514518596
南北,68.0
南北,55.39654694857354
南,18.414731785428344
南北,31.86743148502231
南,25.222551928783382
东,55.55555555555556
南,89.63786303334528
南,92.04114780725502
南,51.36986301369863
南北,41.32231404958678
南,50.45871559633027
南北,60.32575909913533
南,137.5
南北,52.083333333333336
南北,36.809815950920246
南,169.23076923076923
南,53.608247422680414
南北,45.98540145985402
南北,41.16509698746335
南北,45.45741524086117
南北,137.13658804168952
南,69.76744186046511
南北,47.51647237709072
南,65.98917777484493
南,37.36842105263158
南北,38.898397386027696
南北,26.442307692307693
南北,26.794087438038673
南北,49.79087831109341
